课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,42,2526121019519001,商务西班牙语01班,21019519,商务西班牙语,2,外国语学院,个性化选修,李彦,"2023涉外法治实验班1班,2023西班牙语1班,2023涉外法治双学士学位项目班",20,0,"1: 1-16周, 单双周,星期一, 1-2节, 立德402;",
,43,2526121019545001,红楼梦诗词品读01班,21019545,红楼梦诗词品读,2,文学院,一般通识课,朱子辉,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",40,0,"1: 1周, 单双周,星期五, 5-6节, 教三3405; 2: 2-16周, 单双周,星期五, 5-6节, 教三3405; 3: 2周, 单双周,星期日, 13-14节, 教三3405;",
,44,2526121019555001,中国哲学：传统、经典与方法01班,21019555,中国哲学：传统、经典与方法,2,哲学院,通识核心课,罗祥相,*|*|*|可选,40,0,"1: 1-16周, 单双周,星期四, 5-6节, 立德311;",
,45,2526121019556002,西方哲学：传统、经典与方法02班,21019556,西方哲学：传统、经典与方法,2,哲学院,通识核心课,聂敏里,*|*|*|可选,60,0,"1: 1-16周, 单双周,星期四, 5-6节, 立德906;",
,46,2526121019556003,西方哲学：传统、经典与方法03班,21019556,西方哲学：传统、经典与方法,2,哲学院,通识核心课,"张浩军,李科政",*|*|*|可选,60,0,"1: 1-4,6-7,9-16周, 单双周,星期三, 11-12节, 立德1006; 2: 5周, 单双周,星期六, 11-12节, 立德1006; 3: 8周, 单双周,星期三, 11-12节, 立德1006;",
,47,2526121019579001,音乐基础理论与视唱练耳（简谱）,21019579,音乐基础理论与视唱练耳（简谱）,2,美育中心,美育课程,周源,*|*|*|可选,60,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 教一1104; 2: 5周, 单双周,星期六, 5-6节, 教一1104;",
,48,2526121019580001,高分子化学01班,21019580,高分子化学,2,化学与生命资源学院,个性化选修,王亚培,2023级化学拔尖人才实验班1班,18,2,"1: 1周, 单双周,星期一, 3-4节, 教二2116; 2: 2-16周, 单双周,星期一, 3-4节, 教二2116;",
,49,2526121019588001,视听传播原理01班,21019588,视听传播原理,2,新闻学院,个性化选修,刘宏宇,"2024国际新闻全英文实验班1班,2022新闻传播学类[1-2]班（留学生）,2022法学-新闻学双学位学士项目1班,2024新闻传播学类2班,2022“国际新闻与传播-西班牙语”联合学士......",15,8,"1: 1-16周, 单双周,星期一, 9-10节, 明国0308;",
,50,2526121019589001,视听传播原理01班,21019589,视听传播原理,2,新闻学院,个性化选修,何天平,"2024新闻传播学类[1-2]班,2024新闻传播学类[1-2]班（留学生）,2024“国际新闻与传播-西班牙语”联合学士学位项目",30,3,"1: 1-16周, 单双周,星期四, 11-12节, 明新0201;",
,1,2526121019589002,视听传播原理02班,21019589,视听传播原理,2,新闻学院,个性化选修,闫岩,"2024新闻传播学类[1-2]班,2024新闻传播学类[1-2]班（留学生）,2024“法学-新闻学”双学士学位项目班,2024“传播学-公共管理”双学士学位复合型人才培养项目班,2024......",25,3,"1: 1-6,8-16周, 单双周,星期四, 11-12节, 立德511; 2: 7周, 单双周,星期四, 11-12节, 立德511;",
,2,2526121019590001,广播电视新闻报道01班,21019590,广播电视新闻报道,2,新闻学院,专业核心课,"周勇,何天平","2024新闻传播学类[1-2]班,2024新闻传播学类[1-2]班（留学生）,2024创意传播实验班,2024“国际新闻与传播-西班牙语”联合学士学位项目",40,4,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 明新0301; 2: 3周, 单双周,星期日, 11-12节, 明新0301;",
,3,2526121019603001,区块链与数字货币01班,21019603,区块链与数字货币,2,法学院,个性化选修,"杨东,陈哲立","*|2022|*|可选,*|2023|*|可选",30,20,"1: 1-16周, 单双周,星期四, 5-6节, 明法0302;",
,4,2526121019606001,国家法学概论01班,21019606,国家法学概论,2,法学院,个性化选修,"李忠夏,王旭,王旭,田伟,社会学系,社会学系,钱坤","2024法学-劳关（全球劳动治理）实验班1班,2024法学-劳动关系（全球劳动治理）实验班1班,2024涉外法治人才协同培养创新基地班1班,外院2024涉外法治双学士学位复合型人才培养项目......",65,0,"1: 1-4周, 单双周,星期二, 11-12节, 教三3104; 2: 3周, 单双周,星期日, 11-12节, 教三3104; 3: 6周, 单双周,星期二, 11-12节, 教三3104; 4: 7-16周, 单双周,星期二, 11-12节, 教三3104;",
